medcodeid,ctd_cnd,ctd_weight
4805641000006118,1,.4
4805631000006111,1,.4
308701011,1,.4
308704015,1,.4
308705019,1,.4
308706018,1,.4
308707010,1,.4
308859010,1,.4
4806461000006113,1,.4
4806541000006110,1,.4
4806471000006118,1,.4
308855016,1,.4
308864014,1,.4
308860017,1,.4
4806511000006111,1,.4
308871016,1,.4
4806501000006113,1,.4
4806521000006115,1,.4
4806491000006117,1,.4
4806451000006111,1,.4
309405011,1,.4
309416016,1,.4
309675018,1,.4
309674019,1,.4
309677014,1,.4
309678016,1,.4
309680010,1,.4
4808821000006116,1,.4
309681014,1,.4
309787016,1,.4
309789018,1,.4
309790010,1,.4
309791014,1,.4
309792019,1,.4
162051000006115,1,.4
4809101000006114,1,.4
309794018,1,.4
989291000006112,1,.4
162111000006117,1,.4
989301000006113,1,.4
162131000006111,1,.4
162041000006117,1,.4
309798015,1,.4
989311000006111,1,.4
162141000006118,1,.4
309800010,1,.4
989321000006115,1,.4
162191000006110,1,.4
4809181000006117,1,.4
309802019,1,.4
989331000006117,1,.4
309803012,1,.4
309804018,1,.4
168761000006118,1,.4
4809221000006114,1,.4
162101000006115,1,.4
162081000006111,1,.4
309816012,1,.4
309827014,1,.4
4809341000006114,1,.4
309833017,1,.4
4809351000006111,1,.4
309836013,1,.4
312448013,1,.4
4830551000006119,1,.4
4830571000006112,1,.4
315122016,1,.4
4830581000006110,1,.4
315124015,1,.4
4830601000006117,1,.4
12719701000006115,1,.4
316770014,1,.4
2830211000006113,1,.4
2830231000006119,1,.4
2830221000006117,1,.4
1222561017,1,.4
481428012,1,.4
38247018,1,.4
2863061000006117,1,.4
371261000000111,1,.4
354512012,1,.4
354513019,1,.4
149911000006117,1,.4
312534011,1,.4
312518013,1,.4
359292012,1,.4
424981000006114,1,.4
16911000006114,1,.4
162231000006117,1,.4
5139461000006110,1,.4
359310019,1,.4
114251000006118,1,.4
5140921000006119,1,.4
359447015,1,.4
5140931000006116,1,.4
2909641000006117,1,.4
2909611000006116,1,.4
483004014,1,.4
2909621000006112,1,.4
2909671000006113,1,.4
2909631000006110,1,.4
2909661000006118,1,.4
219021000000114,1,.4
426510015,1,.4
5721431000006114,1,.4
1785104011,1,.4
5850801000006113,1,.4
5850811000006111,1,.4
1227289012,1,.4
2993861000006117,1,.4
2993851000006119,1,.4
2993871000006112,1,.4
11903911000006111,1,.4
451461014,1,.4
453243010,1,.4
362631000006114,1,.4
312726015,1,.4
312727012,1,.4
312729010,1,.4
409041000006110,1,.4
693461000006115,1,.4
693491000006111,1,.4
55628018,1,.4
312521010,1,.4
55627011,1,.4
308730016,1,.4
315198013,1,.4
1479688017,1,.4
11790021000006116,1,.4
1479689013,1,.4
6596961000006110,1,.4
6596971000006115,1,.4
1591381000006114,1,.4
6596981000006117,1,.4
6598011000006112,1,.4
6598041000006111,1,.4
6598091000006119,1,.4
6598061000006110,1,.4
6598001000006114,1,.4
6598021000006116,1,.4
6598031000006118,1,.4
6598071000006115,1,.4
6598081000006117,1,.4
1777678019,1,.4
6598051000006113,1,.4
6635531000006119,1,.4
1787120017,1,.4
6635521000006117,1,.4
6635541000006112,1,.4
6635501000006110,1,.4
309824019,1,.4
394571000006116,1,.4
309828016,1,.4
2472447010,1,.4
6802581000006114,1,.4
755441000006119,1,.4
6802651000006117,1,.4
6802661000006115,1,.4
2472449013,1,.4
