medcodeid,pros_cnd,pros_weight
81291000006119,1,.01
203441000006115,1,.01
304402011,1,.01
304401016,1,.01
203211000006115,1,.01
2654641000006112,1,.01
2611461000000113,1,.01
461265017,1,.01
1550561000006114,1,.01
2676248014,1,.01
380681000000117,1,.01
505011000006115,1,.01
134409015,1,.01
314163017,1,.01
314222018,1,.01
990981000006112,1,.01
4826891000006111,1,.01
4826911000006113,1,.01
314242010,1,.01
314134015,1,.01
4826921000006117,1,.01
314228019,1,.01
314212012,1,.01
414341000006111,1,.01
314249018,1,.01
414311000006112,1,.01
314221013,1,.01
314213019,1,.01
314243017,1,.01
893161000006119,1,.01
314214013,1,.01
314085013,1,.01
314230017,1,.01
314226015,1,.01
35171000006119,1,.01
315745016,1,.01
314240019,1,.01
314215014,1,.01
404581000006110,1,.01
315734019,1,.01
314225016,1,.01
314248014,1,.01
272969017,1,.01
643781000006111,1,.01
643231000006115,1,.01
643221000006118,1,.01
5487301000006116,1,.01
5487311000006118,1,.01
977601000006118,1,.01
744201000000114,1,.01
5487231000006116,1,.01
644431000006118,1,.01
1550461000006113,1,.01
868131000006117,1,.01
5727241000006110,1,.01
5569121000006114,1,.01
794121000006112,1,.01
722361000006115,1,.01
6616721000006113,1,.01
6616741000006118,1,.01
6616751000006116,1,.01
6616761000006119,1,.01
6616731000006111,1,.01
2453201000000117,1,.01
2676221013,1,.01
445771010,1,.01
3970451000006114,1,.01
643201000006111,1,.01
4671801000006119,1,.01
1002231000033111,1,.01
4671821000006112,1,.01
272990013,1,.01
2676220014,1,.01
1728631000006117,1,.01
1936171000006116,1,.01
1603821000006114,1,.01
5754801000006116,1,.01
429993012,1,.01
12450831000006114,1,.01
282339011,1,.01
4716351000006117,1,.01
282340013,1,.01
272970016,1,.01
101175019,1,.01
394424012,1,.01
4671671000006114,1,.01
194361000006113,1,.01
4671651000006116,1,.01
4671661000006119,1,.01
69011011,1,.01
4790491000006119,1,.01
304396015,1,.01
1227407014,1,.01
301581000006117,1,.01
6564621000006116,1,.01
203491000006112,1,.01
4790511000006113,1,.01
1100301000006119,1,.01
459768019,1,.01
134770016,1,.01
153295017,1,.01
4008071000006111,1,.01
1553111000000118,1,.01
8214211000006114,1,.01
272991012,1,.01
454337019,1,.01
1490807013,1,.01
6331141000006111,1,.01
