medcodeid,anxdep_sno,anxdep_weight
1956551000006115,1,.47
1956561000006118,1,.47
1956571000006113,1,.47
1956581000006111,1,.47
1956591000006114,1,.47
1956601000006118,1,.47
1956621000006111,1,.47
1956631000006114,1,.47
1956641000006116,1,.47
1956651000006119,1,.47
1956821000006110,1,.47
1956831000006113,1,.47
1975931000006113,1,.47
1975941000006115,1,.47
1976211000006116,1,.47
1976231000006110,1,.47
1976251000006115,1,.47
1976271000006113,1,.47
1976491000006113,1,.47
1976701000006111,1,.47
1976711000006114,1,.47
1976721000006118,1,.47
1976731000006115,1,.47
1976751000006110,1,.47
1976761000006112,1,.47
199101000006113,1,.47
199321000006118,1,.47
199341000006113,1,.47
199441000006117,1,.47
1995051000006113,1,.47
1995071000006115,1,.47
1995091000006119,1,.47
199531000006114,1,.47
199581000006110,1,.47
199671000006111,1,.47
2017961000006113,1,.47
2019001000006116,1,.47
202561000006114,1,.47
213641000000111,1,.47
2139351000000110,1,.47
215881000000118,1,.47
215891000000116,1,.47
215911000000118,1,.47
215921000000112,1,.47
2162210011,1,.47
2162212015,1,.47
2162216017,1,.47
2162217014,1,.47
2162219012,1,.47
216991000006113,1,.47
217431000006116,1,.47
223621000000111,1,.47
223631000000113,1,.47
223641000000116,1,.47
223741000000112,1,.47
2287071000000115,1,.47
230091000006118,1,.47
232501000006118,1,.47
2335571000000115,1,.47
2391581000000111,1,.47
2404011000000118,1,.47
2478828012,1,.47
251630012,1,.47
2520371000006111,1,.47
2520381000006114,1,.47
2520841000006114,1,.47
2520851000006111,1,.47
2520861000006113,1,.47
2533632018,1,.47
253620013,1,.47
2536376012,1,.47
254352011,1,.47
2549138014,1,.47
2549296017,1,.47
2549495015,1,.47
254958015,1,.47
2549835014,1,.47
2549895012,1,.47
2556071000006110,1,.47
2618241000000117,1,.47
2618361000000113,1,.47
2618401000000116,1,.47
2652351000000117,1,.47
2659511000000118,1,.47
2659531000000114,1,.47
2665410014,1,.47
269821000006113,1,.47
27000014,1,.47
2712981000006115,1,.47
2777721000006112,1,.47
2789081000006113,1,.47
2789091000006111,1,.47
2792241000006116,1,.47
2815601000006112,1,.47
283464017,1,.47
2848291000006116,1,.47
2848301000006115,1,.47
2848311000006117,1,.47
285365017,1,.47
2882975016,1,.47
2907991000006110,1,.47
2944841000006114,1,.47
2944861000006113,1,.47
2944871000006118,1,.47
2944881000006115,1,.47
2944891000006117,1,.47
2944901000006118,1,.47
294642013,1,.47
294646011,1,.47
294824018,1,.47
294825017,1,.47
294826016,1,.47
294828015,1,.47
294831019,1,.47
