medcodeid,diab_cnd,diab_weight
423109014,1,.71
423110016,1,.71
3029639016,1,.71
423111017,1,.71
429971019,1,.71
72721000006113,1,.71
72711000006117,1,.71
457325013,1,.71
457326014,1,.71
84461000006114,1,.71
616621000006115,1,.71
457330012,1,.71
84641000006112,1,.71
85011000006119,1,.71
457329019,1,.71
616511000006110,1,.71
459161015,1,.71
84341000006119,1,.71
459163017,1,.71
459294012,1,.71
459292011,1,.71
84681000006118,1,.71
459306016,1,.71
84961000006116,1,.71
84591000006119,1,.71
459308015,1,.71
84861000006112,1,.71
459309011,1,.71
84491000006118,1,.71
459310018,1,.71
459313016,1,.71
84941000006115,1,.71
84571000006115,1,.71
459312014,1,.71
771381000006115,1,.71
292565014,1,.71
913531000006111,1,.71
1667891000000113,1,.71
850691000006118,1,.71
1780311019,1,.71
928511000006116,1,.71
928501000006119,1,.71
914031000006118,1,.71
914271000006114,1,.71
914261000006119,1,.71
84551000006113,1,.71
84981000006114,1,.71
914041000006111,1,.71
84611000006113,1,.71
84921000006110,1,.71
280531000006119,1,.71
616551000006111,1,.71
914231000006111,1,.71
914221000006113,1,.71
84901000006117,1,.71
84531000006118,1,.71
938311000006112,1,.71
928461000006119,1,.71
928571000006113,1,.71
84501000006114,1,.71
914311000006114,1,.71
914301000006111,1,.71
84871000006117,1,.71
84441000006110,1,.71
913671000006113,1,.71
913661000006118,1,.71
292541011,1,.71
84701000006115,1,.71
84331000006112,1,.71
84721000006113,1,.71
913791000006119,1,.71
84351000006117,1,.71
928521000006112,1,.71
928531000006110,1,.71
914071000006115,1,.71
84561000006110,1,.71
84931000006113,1,.71
914081000006117,1,.71
280591000006115,1,.71
616671000006119,1,.71
913521000006113,1,.71
84751000006116,1,.71
84381000006113,1,.71
84881000006119,1,.71
292582011,1,.71
281211000006117,1,.71
616561000006113,1,.71
84511000006112,1,.71
616531000006116,1,.71
928591000006114,1,.71
938321000006116,1,.71
616541000006114,1,.71
928611000006115,1,.71
84741000006118,1,.71
84801000006111,1,.71
913851000006119,1,.71
84431000006117,1,.71
913451000006117,1,.71
616661000006114,1,.71
84371000006110,1,.71
913461000006115,1,.71
84321000006114,1,.71
84691000006115,1,.71
913901000006112,1,.71
928541000006117,1,.71
641581000006115,1,.71
84991000006112,1,.71
914161000006114,1,.71
914151000006112,1,.71
84581000006117,1,.71
587111000006111,1,.71
84951000006118,1,.71
914051000006113,1,.71
616491000006116,1,.71
913541000006118,1,.71
84361000006115,1,.71
913551000006116,1,.71
493773010,1,.71
197761014,1,.71
84841000006113,1,.71
493774016,1,.71
84471000006119,1,.71
73466011,1,.71
280571000006116,1,.71
84851000006110,1,.71
281171000006119,1,.71
292590011,1,.71
292589019,1,.71
84291000006117,1,.71
292550013,1,.71
292548017,1,.71
84281000006115,1,.71
84651000006114,1,.71
197984010,1,.71
297758012,1,.71
913651000006115,1,.71
169731000006118,1,.71
771411000006117,1,.71
214921000006116,1,.71
82373015,1,.71
616451000006110,1,.71
771401000006115,1,.71
1230929011,1,.71
10928019,1,.71
483882011,1,.71
2288011000000114,1,.71
2288071000000116,1,.71
1233307015,1,.71
1848531000006116,1,.71
299601000000114,1,.71
299621000000117,1,.71
84791000006110,1,.71
913811000006115,1,.71
913821000006111,1,.71
914241000006118,1,.71
84971000006111,1,.71
280541000006112,1,.71
914251000006116,1,.71
84391000006111,1,.71
84761000006119,1,.71
459296014,1,.71
280511000006113,1,.71
84521000006116,1,.71
459169018,1,.71
459167016,1,.71
292621010,1,.71
293756010,1,.71
377001000006117,1,.71
616571000006118,1,.71
13781000006113,1,.71
772151000006116,1,.71
77727018,1,.71
772161000006119,1,.71
913711000006112,1,.71
772171000006114,1,.71
121589010,1,.71
616681000006116,1,.71
787111000006112,1,.71
616601000006113,1,.71
913481000006113,1,.71
84401000006113,1,.71
913491000006111,1,.71
2164134013,1,.71
3296773014,1,.71
125705011,1,.71
15518018,1,.71
