medcodeid,psm_cnd,psm_weight
398001000006114,1,.38
398091000006119,1,.38
398751000006111,1,.38
398071000006115,1,.38
397741000006110,1,.38
397141000006111,1,.38
397861000006116,1,.38
398021000006116,1,.38
398711000006110,1,.38
398011000006112,1,.38
397351000006111,1,.38
397451000006116,1,.38
397341000006114,1,.38
398111000006111,1,.38
3984641000006113,1,.38
397221000006114,1,.38
398721000006119,1,.38
397491000006110,1,.38
423031000006112,1,.38
397521000006112,1,.38
397841000006115,1,.38
397301000006112,1,.38
397711000006111,1,.38
397951000006110,1,.38
398701000006112,1,.38
397961000006112,1,.38
398271000006114,1,.38
397151000006113,1,.38
397231000006112,1,.38
397171000006115,1,.38
398161000006114,1,.38
397821000006110,1,.38
397331000006116,1,.38
398681000006114,1,.38
398081000006117,1,.38
397431000006111,1,.38
397441000006118,1,.38
397871000006111,1,.38
398041000006111,1,.38
397531000006110,1,.38
397571000006113,1,.38
398061000006110,1,.38
397311000006110,1,.38
397921000006118,1,.38
397511000006116,1,.38
397901000006111,1,.38
397891000006112,1,.38
397551000006115,1,.38
3758091000006116,1,.38
398151000006112,1,.38
397501000006119,1,.38
3758081000006119,1,.38
5777191000006111,1,.38
2164310010,1,.38
352141000006117,1,.38
397831000006113,1,.38
397321000006119,1,.38
397651000006119,1,.38
397701000006113,1,.38
291791000006118,1,.38
5247561000006115,1,.38
586641000006118,1,.38
938481000006114,1,.38
295316013,1,.38
586671000006114,1,.38
4765991000006115,1,.38
295321011,1,.38
4838711000006113,1,.38
680771000006112,1,.38
4838721000006117,1,.38
630131000006118,1,.38
6769831000006116,1,.38
936031000006115,1,.38
6769821000006119,1,.38
671651000006113,1,.38
672251000006115,1,.38
4832371000006118,1,.38
671641000006111,1,.38
893681000006119,1,.38
672361000006111,1,.38
672321000006117,1,.38
671661000006110,1,.38
672141000006114,1,.38
980181000006113,1,.38
318050018,1,.38
98841000006117,1,.38
461530018,1,.38
461531019,1,.38
980091000006110,1,.38
6703071000006114,1,.38
428491000006113,1,.38
246271000006111,1,.38
980111000006118,1,.38
26871000006115,1,.38
359411000006117,1,.38
19071000006111,1,.38
359371000006118,1,.38
98351000006113,1,.38
980121000006114,1,.38
318008018,1,.38
359431000006111,1,.38
773281000006112,1,.38
117461000006111,1,.38
980131000006112,1,.38
318094012,1,.38
182231000006119,1,.38
2160091013,1,.38
773271000006114,1,.38
325616013,1,.38
26901000006115,1,.38
404271000006114,1,.38
362491000006110,1,.38
461148015,1,.38
318039016,1,.38
359421000006113,1,.38
359501000006119,1,.38
987241000006112,1,.38
318095013,1,.38
461152015,1,.38
316989019,1,.38
460965015,1,.38
980171000006110,1,.38
405851000006118,1,.38
433871000006117,1,.38
987231000006119,1,.38
16791000006118,1,.38
420511000006116,1,.38
117481000006118,1,.38
460851018,1,.38
318091016,1,.38
318068015,1,.38
318093018,1,.38
772971000006112,1,.38
773201000006115,1,.38
182221000006117,1,.38
460850017,1,.38
19081000006114,1,.38
429081000006111,1,.38
317710013,1,.38
712601000006118,1,.38
980161000006115,1,.38
2418861000000117,1,.38
7728541000006112,1,.38
3853591000006117,1,.38
3853581000006115,1,.38
398261000006119,1,.38
980151000006117,1,.38
7582881000006113,1,.38
397731000006117,1,.38
397131000006118,1,.38
397191000006119,1,.38
11777101000006116,1,.38
398031000006118,1,.38
11777091000006110,1,.38
3718211000006111,1,.38
3718221000006115,1,.38
342446016,1,.38
4979281000006112,1,.38
2548235012,1,.38
2681431000006113,1,.38
397361000006113,1,.38
397481000006112,1,.38
398741000006114,1,.38
398281000006112,1,.38
3636410011,1,.38
295298011,1,.38
295290016,1,.38
295293019,1,.38
615701000006114,1,.38
2475577014,1,.38
586651000006116,1,.38
1926121000006115,1,.38
1777051000006117,1,.38
1892061000006110,1,.38
295296010,1,.38
346950015,1,.38
2548756013,1,.38
2533642016,1,.38
1973471000006118,1,.38
1971951000006116,1,.38
666861000000116,1,.38
263571015,1,.38
7220111000006111,1,.38
666941000000114,1,.38
346947018,1,.38
5023841000006119,1,.38
1971581000006115,1,.38
1994301000006110,1,.38
295295014,1,.38
2908101000006118,1,.38
42772010,1,.38
4763311000006110,1,.38
294687012,1,.38
342441014,1,.38
342451010,1,.38
2548750019,1,.38
2566911000006114,1,.38
3476221000006116,1,.38
3476211000006112,1,.38
461113010,1,.38
398141000006110,1,.38
757341000000110,1,.38
857401000006112,1,.38
1895821000006115,1,.38
980081000006112,1,.38
969991000006115,1,.38
295177015,1,.38
295237015,1,.38
342438017,1,.38
3492911000006112,1,.38
