medcodeid,thy_cnd,thy_weight
2849751000006113,1,.08
2849831000006114,1,.08
481187014,1,.08
881401000006114,1,.08
36888019,1,.08
2849761000006110,1,.08
2849781000006117,1,.08
2849801000006118,1,.08
481188016,1,.08
5574191000006119,1,.08
411528018,1,.08
251590015,1,.08
507481016,1,.08
3918261000006117,1,.08
292357010,1,.08
3918281000006110,1,.08
5531831000006113,1,.08
759351000006110,1,.08
5531841000006115,1,.08
406960014,1,.08
293754013,1,.08
2548835019,1,.08
2649901000006115,1,.08
511096011,1,.08
2649881000006117,1,.08
324120016,1,.08
2533420013,1,.08
2533422017,1,.08
482012013,1,.08
2895731000006114,1,.08
1233040016,1,.08
3613541000006112,1,.08
4051571000006116,1,.08
511931018,1,.08
7082511000006118,1,.08
7082541000006119,1,.08
7082501000006116,1,.08
2695192017,1,.08
7082521000006114,1,.08
2628121000006118,1,.08
504396012,1,.08
3983121000006111,1,.08
1235648010,1,.08
3983101000006118,1,.08
3983091000006112,1,.08
222131000033116,1,.08
491111000000116,1,.08
905731000006119,1,.08
12724051000006110,1,.08
881331000006113,1,.08
3606681000006113,1,.08
858321000006114,1,.08
3606671000006110,1,.08
3606691000006111,1,.08
12723171000006118,1,.08
858331000006112,1,.08
907351000006119,1,.08
297631000006117,1,.08
297621000006115,1,.08
4757581000006111,1,.08
881351000006118,1,.08
4757571000006113,1,.08
4757591000006114,1,.08
12722871000006117,1,.08
858461000006114,1,.08
881411000006112,1,.08
12729751000006112,1,.08
858341000006119,1,.08
44931000006117,1,.08
266330015,1,.08
266328017,1,.08
1037881000006116,1,.08
1013761000006118,1,.08
1046731000006114,1,.08
908131000033112,1,.08
1046711000006115,1,.08
1039071000006116,1,.08
1122661000006117,1,.08
1134911000006115,1,.08
1875101000006110,1,.08
1864051000006115,1,.08
1673541000006111,1,.08
6912361000006115,1,.08
4904391000006111,1,.08
4904371000006110,1,.08
4904401000006113,1,.08
4904361000006115,1,.08
4904421000006115,1,.08
4904411000006111,1,.08
329968011,1,.08
4904351000006117,1,.08
600791000006112,1,.08
6938051000006113,1,.08
1673551000006113,1,.08
3438831000006118,1,.08
292354015,1,.08
