medcodeid,hear_cnd,hear_weight
2739721000006119,1,.07
1873721000006117,1,.07
2773231012,1,.07
2267571000000111,1,.07
2267601000000116,1,.07
7174891000006117,1,.07
7174871000006118,1,.07
2226281000000117,1,.07
2226381000000114,1,.07
2440051000000118,1,.07
2440231000000116,1,.07
2264161000000115,1,.07
2440141000000115,1,.07
2264121000000111,1,.07
8306171000006110,1,.07
2226301000000116,1,.07
283308016,1,.07
283305018,1,.07
356099014,1,.07
356100018,1,.07
11814631000006115,1,.07
356110010,1,.07
356109017,1,.07
11814621000006118,1,.07
5109801000006118,1,.07
299539014,1,.07
883771000006111,1,.07
313164018,1,.07
299200018,1,.07
299270019,1,.07
633701000006118,1,.07
299236015,1,.07
623251000006112,1,.07
415211000006116,1,.07
412821000006119,1,.07
299271015,1,.07
299549012,1,.07
414941000006110,1,.07
299553014,1,.07
313159017,1,.07
399502012,1,.07
299235016,1,.07
299266010,1,.07
253168015,1,.07
4301751000006113,1,.07
4301731000006118,1,.07
4301741000006111,1,.07
299208013,1,.07
481000011,1,.07
267405013,1,.07
267406014,1,.07
2839611000006117,1,.07
267384010,1,.07
3506711000006117,1,.07
299550012,1,.07
299265014,1,.07
4775341000006117,1,.07
148551000006115,1,.07
578361000006118,1,.07
4775301000006119,1,.07
396151000006111,1,.07
1586401000006117,1,.07
2985701000006112,1,.07
2985721000006119,1,.07
423881000006117,1,.07
2985711000006110,1,.07
2985691000006112,1,.07
1173651000000115,1,.07
1173631000000110,1,.07
1173611000000119,1,.07
5754981000006118,1,.07
5754991000006115,1,.07
1668111000000114,1,.07
1173671000000112,1,.07
2636241000006117,1,.07
2226361000000117,1,.07
2496941000000110,1,.07
121916015,1,.07
3693771000006111,1,.07
587171000006119,1,.07
3890851000006110,1,.07
141844010,1,.07
3890861000006112,1,.07
253491010,1,.07
2440101000000118,1,.07
361091000000119,1,.07
299247010,1,.07
299264013,1,.07
185541000006117,1,.07
7976771000006115,1,.07
299243014,1,.07
286780017,1,.07
772531000006119,1,.07
5033031000006116,1,.07
5033041000006114,1,.07
5033021000006119,1,.07
5033011000006110,1,.07
4574351000006117,1,.07
255428010,1,.07
4775371000006113,1,.07
700951000006112,1,.07
1780216010,1,.07
914971000006116,1,.07
915211000006118,1,.07
3614171000006111,1,.07
113719012,1,.07
3614181000006114,1,.07
283072011,1,.07
4720481000006112,1,.07
401826019,1,.07
376921000006111,1,.07
401827011,1,.07
411470013,1,.07
360771000000113,1,.07
255425013,1,.07
4574291000006117,1,.07
2882346015,1,.07
