medcode,ca_excl
312291000006112,1
312331000006117,1
312361000006114,1
312391000006118,1
1230882017,1
312421000006114,1
291674019,1
312461000006115,1
312531000006111,1
312591000006110,1
312601000006119,1
291711013,1
1959991000006111,1
1960001000006118,1
312631000006110,1
291957016,1
292077011,1
292065018,1
312781000006117,1
312801000006118,1
291449013,1
312841000006116,1
312851000006119,1
1216406014,1
312871000006112,1
312911000006110,1
312881000006110,1
291997018,1
291669010,1
312951000006111,1
312961000006113,1
292053017,1
292083014,1
313001000006116,1
313011000006118,1
313031000006112,1
313041000006119,1
291525012,1
291526013,1
291515019,1
1216356017,1
313131000006113,1
313171000006111,1
313191000006112,1
313201000006110,1
313251000006114,1
313271000006116,1
313301000006119,1
313311000006116,1
291955012,1
1216572014,1
292032014,1
1228269013,1
313381000006111,1
313391000006114,1
313411000006114,1
291661013,1
313501000006112,1
313521000006119,1
1221282014,1
313541000006114,1
313561000006113,1
1225879015,1
313621000006115,1
291588012,1
313651000006112,1
313691000006118,1
313701000006118,1
1227517019,1
313751000006119,1
313801000006114,1
1231544010,1
313931000006111,1
292039017,1
314041000006116,1
314051000006119,1
314061000006117,1
1870381000006113,1
314071000006112,1
314081000006110,1
314091000006113,1
314111000006116,1
314141000006117,1
314201000006112,1
314231000006116,1
314241000006114,1
314261000006113,1
291835012,1
314281000006115,1
314311000006118,1
314321000006114,1
314351000006117,1
314401000006113,1
314421000006115,1
314441000006110,1
314451000006112,1
403755011,1
314501000006114,1
1222660012,1
314521000006116,1
292062015,1
292041016,1
314621000006117,1
291441011,1
291440012,1
314671000006116,1
1231363012,1
314691000006115,1
314701000006115,1
314711000006117,1
291375013,1
1231231016,1
291431013,1
291433011,1
291429016,1
314791000006110,1
291343010,1
291510012,1
314891000006116,1
314921000006110,1
291358019,1
314971000006111,1
315011000006119,1
315031000006113,1
315071000006111,1
315101000006118,1
291447010,1
315161000006117,1
315211000006114,1
315221000006118,1
1870391000006111,1
315251000006110,1
1232355013,1
315291000006116,1
315301000006115,1
315331000006111,1
291438019,1
1216014013,1
292017019,1
292014014,1
1231541019,1
315441000006114,1
315461000006113,1
315471000006118,1
315501000006113,1
315511000006111,1
315531000006117,1
315541000006110,1
1234296013,1
315581000006116,1
315611000006112,1
315621000006116,1
315631000006118,1
315651000006113,1
1960021000006111,1
1216595017,1
315681000006117,1
1216015014,1
291909010,1
315721000006112,1
315741000006117,1
1219790013,1
315771000006113,1
1229971014,1
291445019,1
315861000006111,1
315881000006118,1
291426011,1
315911000006118,1
315921000006114,1
315931000006112,1
315941000006119,1
291923012,1
315951000006117,1
315971000006110,1
315981000006113,1
315991000006111,1
316001000006112,1
316041000006114,1
1234787012,1
215896010,1
316111000006114,1
316121000006118,1
316131000006115,1
316141000006113,1
291622017,1
1785811000006114,1
291623010,1
316171000006117,1
316181000006119,1
316211000006115,1
316221000006111,1
1231370012,1
291484012,1
316311000006112,1
291715016,1
316331000006118,1
291714017,1
291508010,1
316401000006117,1
316441000006115,1
1230735015,1
316511000006118,1
291528014,1
316531000006112,1
291472010,1
291474011,1
291332019,1
316591000006111,1
1231976013,1
316611000006117,1
1222626017,1
291624016,1
291618010,1
291403016,1
316691000006110,1
316711000006113,1
316741000006112,1
291331014,1
316761000006111,1
291607010,1
316791000006115,1
316801000006119,1
316821000006112,1
316831000006110,1
316851000006115,1
291828016,1
316871000006113,1
291347011,1
1216064018,1
316931000006117,1
316951000006112,1
316961000006114,1
316971000006119,1
317011000006112,1
317041000006111,1
317051000006113,1
291988017,1
292009010,1
317101000006113,1
292035011,1
317161000006114,1
